  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
 -------------------- --------- --------- --------------------- --------- --------- ---------- --------- ---------- -------------- ------- --------- 
  HD52266              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD53975              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD54662              1         A-B       20.129.073            127.09    7.23      2.60       0.24      0.23       0.04           H       PIO      
  HD55879              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD57060              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD57061              1         Aa-Ab     n/a                   -999.00   -999.00   150.00     -999.00   0.40       -999.00        V       MAS98    
  HD57061              1         Aa-Ab     20.061.937            125.20    -999.00   128.00     -999.00   0.40       -999.00        ???     MAS09    
  HD57061              1         Aa-Ab     20.092.595            126.70    0.10      124.70     0.60      0.80       -999.00        y       TOK10    
  HD57061              1         Aa-Ab     20.130.575            142.68    0.35      120.62     0.44      0.69       0.33           H       PIO      
  HD57061              1         Aa-Ab     20.130.603            313.08    0.42      115.17     0.53      0.55       0.19           H       PIO      
  HD57061              1         Aa-Ab     20.130.848            307.80    1.76      114.02     2.02      1.07       0.11           H       SAM      
  HD57061              1         Aa-Ab     20.130.848            307.80    1.76      114.02     2.02      0.89       0.10           Ks      SAM      
  HD57061              2         Aa-E      20.092.595            87.60     0.10      948.00     1.30      4.40       -999.00        y       TOK10    
  HD57061              2         Aa-E      20.130.848            265.81    2.21      950.15     32.74     4.47       0.21           H       IMG      
  HD57061              2         Aa-E      20.130.848            265.81    2.21      950.15     32.74     4.39       0.14           Ks      IMG      
  HD57061              3         Aa-B      n/a                   -999.00   -999.00   8500.00    -999.00   5.30       -999.00        V       MAS98    
  HD57061              4         Aa-C      n/a                   -999.00   -999.00   14800.00   -999.00   6.30       -999.00        V       MAS98    
  HD57061              5         Aa-D      n/a                   -999.00   -999.00   85000.00   -999.00   3.30       -999.00        V       MAS98    
  HD57682              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD66811              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD68450              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD71304              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD73882              1         A-B       n/a                   -999.00   -999.00   660.00     -999.00   1.20       -999.00        V       MAS98    
  HD73882              1         A-B       20.041.190            256.00    -999.00   650.00     -999.00   1.25       0.77           I       TUR08    
  HD73882              1         A-B       20.061.884            254.40    -999.00   662.00     -999.00   1.30       -999.00        ???     MAS09    
  HD73882              1         A-B       20.121.238            254.26    3.02      676.96     33.74     1.19       0.36           H       IMG      
  HD73882              1         A-B       20.121.238            254.26    3.02      676.96     33.74     1.13       0.35           Ks      IMG      
  HD74194              1         A-B       20.130.822            178.62    1.71      4506.72    108.88    6.63       0.11           H       IMG      
  HD74194              1         A-B       20.130.822            178.62    1.71      4506.72    108.88    6.58       0.16           Ks      IMG      
  HD75211              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD75222              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD75759              1         A-B       20.124.437            66.31     70.30     0.63       1.17      1.25       1.75           H       PIO      
  HD75759              1         A-B       20.130.604            35.52     62.53     0.39       0.58      0.20       1.75           H       PIO      
  HD76341              1         A-B       20.121.238            55.09     2.63      168.89     8.46      3.72       0.42           H       SAM      
  HD76341              1         A-B       20.121.238            55.09     2.63      168.89     8.46      3.57       0.23           Ks      SAM      
  HD76556              1         A-B       20.130.684            85.99     20.76     2.48       0.69      3.07       0.14           H       PIO      
  HD76556              1         A-B       20.139.940            277.02    10.26     4.31       0.62      2.98       0.14           H       PIO      
  HD76968              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  CPD$-$47\degr2963    1         A-B       20.124.436            294.99    9.96      1.48       0.19      1.42       -999.99        H       PIO      
  CPD$-$47\degr2963    1         A-B       20.129.017            211.89    4.07      4.08       0.19      1.42       0.05           H       PIO      
  CPD$-$47\degr2963    1         A-B       20.139.941            116.76    4.33      2.64       0.13      1.42       -999.99        H       PIO      
  CPD$-$47\degr2963    1         A-B       20.140.983            85.88     42.12     1.67       1.15      1.42       -999.99        H       PIO      
  CPD$-$47\degr2963    1         A-B       20.141.555            37.46     38.41     1.11       0.69      1.42       -999.99        H       PIO      
  CPD$-$47\degr2963    1         A-B       20.143.550            253.89    6.15      2.69       0.19      1.42       -999.99        H       PIO      
  CPD$-$47\degr2963    2         A-C       20.130.824            109.99    1.32      5221.61    78.29     6.95       0.19           H       IMG      
  CPD$-$47\degr2963    2         A-C       20.130.824            109.99    1.32      5221.61    78.29     6.81       0.15           Ks      IMG      
  HD93129AaAb          1         Aa-Ab     2002.21               356.00    4.00      55.00      3.00      0.90       0.05           ???     NEL04    
