Target "Spectral Type" H-band MH_abs V-band "SB type" Triple "Period (d)" "distance (pc)" "err_distance (pc)" "Sep (mas)" "err_sep (mas)" "Sep (au)" Mass_prim(Msun) Mass_comp(Msun) Mc/Mp
HD93130 O6.5III 8.04 -4.93 6.8 SB2(SB1E) Y 20.9 2485 230.0 "" "" "" 31.8 "" ""
HD93130 V "" -2.64 "" "" "" "" 2485 230.0 24.04 0.79 59.8 "" 12.3 0.39
HD93206 O9.7Ib+B2V 6.24 -5.62 1.7 SB3OE N 20.7 1841 29.0 "" "" "" 27.0 "" ""
HD93206 IV "" -5.2 "" "" "" "" 1841 29.0 25.76 0.54 47.4 "" 28.5 1.06
HD96670 O8.5I 7.07 -5.62 7.43 SB2(SB1O) Y 5.3 3535 51.0 "" "" "" 31.4 "" ""
HD96670 IV "" -4.35 "" "" "" "" 3535 51.0 29.87 0.82 105.6 "" 26.5 0.84
HD101190 O6IV+O7V 7.17 -4.79 7.33 SB2O Y 6.05 3413 477.0 "" "" "" 48.5 "" ""
HD101190 V "" -4.17 "" "" "" "" 3413 477.0 25.73 0.6 87.8 "" 31.1 0.64
HD135240 "O7.5 III-V+ O9.5V + B0.5V" 5.22 -3.94 3.64 SB2OE Y 3.9 862 205.0 "" "" "" 26.7 "" ""
HD135240 V "" -2.2 "" "" "" 1644.0 862 205.0 3.78 0.46 3.3 "" 9.7 0.36
HD150136 "O3-3.5V+ O5.5-6V+ O6.5-7V" 5.09 -4.79 5.65 SB3O Y 2.7 1194 167.0 "" "" "" 48.5 "" ""
HD150136 V "" -3.28 "" "" "" 3008.0 1194 167.0 6.95 1.74 8.3 "" 17.8 0.37
HD152233 "O5.5 III + O7.5 III-V" 6.59 -5.07 3.8 SB2O N 868.0 1683 131.0 "" "" "" 37.2 "" ""
HD152233 V "" -3.11 "" "" "" "" 1683 131.0 2.81 0.83 4.7 "" 16.1 0.43
HD152246 "O9V + (O9V + unknown)" 7.29 -4.01 3.9 SB3O N 470.0 1741 255.0 "" "" "" 20.2 "" ""
HD152246 IV "" -3.73 "" "" "" "" 1741 255.0 3.34 0.16 5.5 "" 16.4 0.81
HD152623 O7V 8.64 -3.94 7.4 SB2O N 3.9 1773 422.0 "" "" "" 26.7 "" ""
HD152623 V "" -3.11 "" "" "" "" 1773 422.0 28.2 0.37 50.0 "" 16.1 0.6
HD158186 O9.5V 6.88 -3.25 7.04 SB2(SBE) Y 2.51 1045 334.0 "" "" "" 17.4 "" ""
HD158186 V "" -1.12 "" "" "" "" 1045 334.0 26.9 0.38 28.1 "" 5.5 0.32
HD159176 "O7V + O7V" 5.51 -3.94 5.7 SB2OE Y 3.37 1099 261.0 "" "" "" 26.7 "" ""
HD159176 V "" -1.55 "" "" "" "" 1099 261.0 64.13 1.76 4.8 "" 6.9 0.26
HD167971 "O8Ia + (O6.5V + O6.5V)" 5.32 -5.62 7.5 SB3OE Y 3.2 1610 5.7 "" "" "" 62.2 "" ""
HD167971 IV "" -5.53 "" "" "" 7743.0 1610 5.7 17.02 0.38 27.4 "" 33.4 0.53
CPD$-$47\degr2963 O5I 6.06 -5.63 8.54 SB Y 59.0 2109 41.0 "" "" "" 50.3 "" ""
CPD$-$47\degr2963 V "" -4.21 "" "" "" "" 2109 41.0 2.64 0.13 5.6 "" 31.9 0.63
HD101131 O5.5V+O8V 7.0 -4.36 7.16 SB2OE Y 9.7 2528 476.0 "" "" "" 35.5 "" ""
HD101131 V "" -3.41 "" "" "" "" 2528 476.0 45.45 1.12 154.4 "" 19.2 0.54
HD101413 O8V+B3V 8.13 -3.66 9.21 SB2 N 149.0 2452 665.0 "" "" "" 22.3 "" ""
HD101413 V "" -2.21 "" "" "" "" 2452 665.0 4.09 0.79 10.0 "" 9.8 0.44
HD101545A O9.5II 6.32 -5.09 6.38 SB2 Y "" 3029 384.0 "" "" "" 22.6 "" ""
HD101545A II "" -4.88 "" "" "" "" 3029 384.0 2.56 0.17 7.8 "" 15.3 0.68
HD123590 O8V 7.23 -3.66 8.84 SB2 N 58.9 1799 488.0 "" "" "" 22.3 "" ""
HD123590 V "" -3.41 "" "" "" "" 1799 488.0 0.64 0.43 1.2 "" 19.2 0.86
HD124314A O6III 6.12 -5.0 6.64 SB2 Y "" 1701 145.0 "" "" "" 34.4 "" ""
HD124314A V "" -2.79 "" "" "" "" 1701 145.0 1.71 0.5 2.9 "" 13.4 0.39
HD148937 O6III 5.74 -5.0 6.71 SB2 N "" 1690 144.0 "" "" "" 34.4 "" ""
HD148937 III "" -5.0 "" "" "" "" 1690 144.0 21.05 0.67 35.6 "" 34.4 1.0
HD150135 O6.5V 5.21 -4.08 6.88 SB2 N 183.0 1412 313.0 "" "" "" 29.3 "" ""
HD150135 V "" -3.87 "" "" "" "" 1412 313.0 0.95 0.24 1.3 "" 25.5 0.87
HD151003 O9III 6.51 -4.59 7.09 SB2 N 199.0 1701 223.0 "" "" "" 21.9 "" ""
HD151003 V "" -3.47 "" "" "" "" 1701 223.0 1.85 0.14 3.1 "" 19.8 0.9
HD152147 O9.7I 6.25 -5.62 7.34 SB2 N 25.47 2073 29.0 "" "" "" 27.0 "" ""
HD152147 V "" -2.81 "" "" "" "" 2073 29.0 0.77 1.05 1.6 "" 13.6 0.5
HD152234 O9.7I+O8V 4.93 -5.62 5.45 SB2O N 125.1 1235 22.0 "" "" "" 27.0 "" ""
HD152234 V "" -3.71 "" "" "" "" 1235 22.0 0.88 1.17 1.1 "" 23.1 0.86
HD152247 O9III+O9.7V 6.61 -4.59 7.16 SB2O N 582.0 1731 227.0 "" "" "" 21.9 "" ""
HD152247 V "" -3.2 "" "" "" "" 1731 227.0 1.24 0.12 2.2 "" 16.9 0.77
HD152314 O8.5V+B1-3 7.24 -3.52 7.75 SB2O N 3710.0 1460 420.0 "" "" "" 20.5 "" ""
HD152314 V "" -2.36 "" "" "" "" 1460 420.0 10.01 0.56 14.6 "" 10.6 0.52
HD152386 O6I 6.62 -5.63 8.13 C N "" 2309 33.0 "" "" "" 43.7 "" ""
HD152386 V "" -2.29 "" "" "" "" 2309 33.0 55.97 1.14 141.4 "" 10.2 0.23
HD152723 O6.5III 6.74 -4.93 7.1 SB2 Y 18.9 2192 203.0 "" "" "" 31.8 "" ""
HD152723 V "" -3.24 "" "" "" "" 2192 203.0 80.75 1.0 229.0 "" 17.4 0.55
HD155806 O7.5V 5.69 -3.8 5.53 SB2 Y "" 969 247.0 "" "" "" 24.4 "" ""
HD155806 V "" -3.43 "" "" "" "" 969 247.0 24.87 0.68 24.1 "" 19.4 0.8
HD155889 O9.5IV 6.58 -3.9 6.55 SB2 Y "" 1352 208.0 "" "" "" 18.7 "" ""
HD155889 V "" -2.77 "" "" "" "" 1352 208.0 115.72 0.71 149.5 "" 13.3 0.71
HD156738 O6.5III 6.92 -4.93 9.35 "C or SB1?" N "" 1998 27.0 "" "" "" 31.8 "" ""
HD156738 V "" -3.78 "" "" "" "" 1998 27.0 50.38 0.32 100.7 "" 24.1 0.76
HD164492A O7.5V 7.39 -3.8 6.8 "C or SB1?" N "" 1683 429.0 "" "" "" 24.4 "" ""
HD164492A V "" -0.63 "" "" "" "" 1683 429.0 24.54 1.11 41.3 "" 4.3 0.18
HD164794 O3.5V+O5.5V 5.75 -4.93 5.97 SB2O N 2900.0 1603 199.0 "" "" "" 54.2 "" ""
HD164794 V "" -4.48 "" "" "" "" 1603 199.0 4.96 1.05 8.0 "" 38.6 0.71
HD164816 O9.5V+B0V 7.05 -3.25 6.99 SB2 Y 3.8 1488 476.0 "" "" "" 17.4 "" ""
HD164816 V "" 0.05 "" "" "" "" 1488 476.0 56.93 2.06 85.2 "" 3.1 0.18
HD167263 O9.5III 5.91 -4.52 6.02 SB2 Y 64.8 1324 184.0 "" "" "" 20.4 "" ""
HD167263 IV "" -3.52 "" "" "" "" 1324 184.0 79.3 0.43 111.6 "" 14.1 0.69
HD167264 O9.7I 5.21 -5.62 5.37 SB2 N 674.4 1382 20.0 "" "" "" 27.0 "" ""
HD167264 V "" -2.43 "" "" "" "" 1382 20.0 3.27 0.71 4.5 "" 11.0 0.41
HD167659 O7III 6.75 -4.86 7.4 C N "" 1919 192.0 "" "" "" 29.5 "" ""
HD167659 V "" -2.32 "" "" "" "" 1919 192.0 50.59 1.25 97.0 "" 10.4 0.35
HD168076AB O4III 6.66 -5.27 8.25 C N "" 2354 134.0 "" "" "" 47.3 "" ""
HD168076AB V "" -4.25 "" "" "" "" 2354 134.0 116.9 1.26 275.0 "" 32.9 0.7
HD168112 O5III 6.72 -5.14 8.52 C N "" 2512 177.0 "" "" "" 40.2 "" ""
HD168112 III "" -4.97 "" "" "" "" 2512 177.0 3.33 0.17 8.4 "" 33.1 0.82
HD168137 O7V+O8V 7.68 -3.66 8.94 SB2 N 1800.0 2031 551.0 "" "" "" 22.3 "" ""
HD168137 V "" -3.37 "" "" "" "" 2031 551.0 6.32 0.23 12.8 "" 18.7 0.84
HD171589 O7.5II 7.5 -5.23 8.28 C N "" 3118 296.0 "" "" "" 30.1 "" ""
HD171589 V "" -2.23 "" "" "" "" 3118 296.0 1.24 1.81 3.9 "" 9.9 0.33
HD47839 O7V 5.32 -3.94 4.68 SB1 N 8633.0 812 193.0 "" "" "" 26.7 "" ""
HD47839 V "" -2.48 "" "" "" "" 812 193.0 224.18 3.9 179.0 "" 11.3 0.42
HD54662 O6.5+O7-9.5V 6.172 -4.08 6.21 SB2O N 2100.0 1397 309.0 "" "" "" 29.3 "" ""
HD54662 V "" -3.85 "" "" "" "" 1397 309.0 2.6 0.24 3.6 "" 25.2 0.86
HD57061 O9II+(B0.5V+B0.5V) 4.77 -5.13 4.4 SB2(SB1O) Y 1.2 1234 146.0 "" "" "" 24.2 "" ""
HD57061 IV "" -4.06 "" "" "" "" 1234 146.0 115.17 0.53 140.7 "" 21.0 0.86
HD75759 O9V+B0V 6.29 -3.38 6.0 SB2O N 33.1 924 281.0 "" "" "" 18.9 "" ""
HD75759 V "" -2.13 "" "" "" "" 924 281.0 0.63 1.17 0.6 "" 9.4 0.5
HD76556 O6IV 7.14 -4.63 8.2 SB2 Y "" 1950 197.0 "" "" "" 33.3 "" ""
HD76556 V "" -1.56 "" "" "" "" 1950 197.0 4.31 0.62 8.4 "" 7.0 0.21
HD93129AaAb O2I 6.14 -5.64 7.88 C N "" 2446 37.0 "" "" "" 78.1 "" ""
HD93129AaAb V "" -4.26 "" "" "" "" 2446 37.0 28.36 1.07 69.4 "" 33.0 0.42
HD93160 O7III 7.14 -4.86 7.6 SB1 Y "" 2543 255.0 "" "" "" 29.5 "" ""
